tarih,hafta,uretim,OEE,saat,kayip_metre,gun,tecrube
2019-01-10,Hafta 02,72810,75,5.5,21600,4,0
2019-01-11,Hafta 02,88195,92,2,7802,5,1
2019-01-12,Hafta 02,84400,85,3.6,13846,6,1
2019-01-14,Hafta 03,11800,36,4.1,16118,1,0
2019-01-15,Hafta 03,85780,89,2.7,10473,2,1
2019-01-16,Hafta 03,89530,94,1.5,5795,3,1
2019-01-18,Hafta 03,87820,94,1.4,5523,5,1
2019-01-22,Hafta 04,83610,81,4.6,17780,2,0
2019-01-23,Hafta 04,87030,87,3.1,12015,3,1
2019-01-24,Hafta 04,87630,91,2,7838,4,1
2019-01-25,Hafta 04,38500,94,0.6,2464,5,1
2019-01-29,Hafta 05,33550,84,1.5,5896,2,0
2019-01-30,Hafta 05,90800,96,0.9,3367,3,1
2019-01-31,Hafta 05,94200,100,0.1,253,4,1
2019-02-01,Hafta 05,75870,96,0.8,3298,5,1
2019-02-04,Hafta 06,68750,84,3.1,12196,1,0
2019-02-05,Hafta 06,30900,31,16.6,64653,2,0
2019-02-06,Hafta 06,93740,98,0.5,2021,3,1
2019-02-08,Hafta 06,60270,96,0.6,2290,5,1
2019-02-11,Hafta 07,71730,95,0.9,3489,1,1
2019-02-12,Hafta 07,93050,96,1,3909,2,1
2019-02-13,Hafta 07,91853,95,1.2,4578,3,1
2019-02-14,Hafta 07,79350,82,2,7876,4,0
2019-02-16,Hafta 07,50785,93,1,3725,6,1
2019-02-20,Hafta 08,29200,94,0.5,1881,3,1
2019-02-21,Hafta 08,90600,90,2.4,9479,4,1
2019-02-22,Hafta 08,88930,91,2.2,8501,5,1
2019-02-23,Hafta 08,84500,90,2.3,9087,6,1
2019-02-26,Hafta 09,32420,81,1.7,6675,2,0
2019-02-27,Hafta 09,65900,88,2.1,8374,3,1
2019-02-28,Hafta 09,88830,93,1.7,6716,4,0
2019-03-01,Hafta 09,89750,93,1.7,6722,5,0
2019-03-02,Hafta 09,33300,94,0.5,2029,6,1
2019-03-04,Hafta 01,15740,75,1.2,4623,1,1
2019-03-05,Hafta 10,86500,91,2.2,8569,2,0
2019-03-06,Hafta 10,88800,92,1.9,7338,3,0
2019-03-07,Hafta 10,73660,90,2.1,8365,4,1
2019-03-12,Hafta 11,24700,61,3.1,11926,2,1
2019-03-13,Hafta 11,80410,83,4.2,16236,3,1
2019-03-14,Hafta 11,85950,91,2.2,8626,4,1
2019-03-15,Hafta 11,88900,93,1.8,6913,5,0
2019-03-16,Hafta 11,50800,78,3.5,13526,6,0
2019-03-18,Hafta 12,44800,92,0.9,3514,1,0
2019-03-19,Hafta 12,90270,95,1.2,4532,2,0
2019-03-20,Hafta 12,88240,91,2.2,8547,3,0
2019-03-21,Hafta 12,90200,94,1.3,5223,4,1
2019-03-22,Hafta 12,73340,92,1.5,5877,5,1
2019-03-26,Hafta 13,14350,82,0.7,2850,2,0
2019-03-27,Hafta 13,89240,91,2.2,8685,3,1
2019-03-28,Hafta 13,87990,90,2.4,9215,4,1
2019-03-29,Hafta 13,49590,87,1.8,6867,5,1
2019-04-02,Hafta 14,44730,81,2.6,9972,2,0
2019-04-03,Hafta 14,89210,94,1.4,5444,3,1
2019-04-04,Hafta 14,80820,82,4.3,16856,4,0
2019-04-05,Hafta 14,48290,93,1,3720,5,1
2019-04-08,Hafta 15,28350,89,0.9,3383,1,1
